Rider;Team;Price
EEKHOFF Nils;Team dsm - firmenich;2
CRADDOCK Lawson;Team Jayco AlUla;2
CHAVES Esteban;EF Education - EasyPost;5
VAN DER POEL Mathieu;Alpecin - Deceuninck;15
VAN POPPEL Danny;BORA - hansgrohe;3
MEINTJES Louis;Intermarché - Circus - Wanty;9
TEJADA Harold;Astana Qazaqstan Team;1
PEDRERO Antonio;Movistar Team;1
BETTIOL Alberto;EF Education - EasyPost;4
TILLER Rasmus;Uno-X Pro Cycling Team;2
VAN DEN BERG Lars;Groupama - FDJ;1
DE LA CRUZ David;Astana Qazaqstan Team;4
LAMPAERT Yves;Soudal Quick-Step;2
FRISON Frederik;Lotto Dstny;1
KÜNG Stefan;Groupama - FDJ;5
IZAGIRRE Gorka;Movistar Team;2
KRAGH ANDERSEN Søren;Alpecin - Deceuninck;6
GUARNIERI Jacopo;Lotto Dstny;1
HALLER Marco;BORA - hansgrohe;1
SCHULTZ Nick;Israel - Premier Tech;1
RICKAERT Jonas;Alpecin - Deceuninck;2
POLITT Nils;BORA - hansgrohe;2
DEVENYNS Dries;Soudal Quick-Step;99
URÁN Rigoberto;EF Education - EasyPost;7
TURGIS Anthony;TotalEnergies;3
PETIT Adrien;Intermarché - Circus - Wanty;1
ZINGLE Axel;Cofidis;4
COSTA Rui;Intermarché - Circus - Wanty;3
CORT Magnus;EF Education - EasyPost;4
CALMEJANE Lilian;Intermarché - Circus - Wanty;1
BJERG Mikkel;UAE Team Emirates;3
ARNDT Nikias;Bahrain - Victorious;2
SÁNCHEZ Luis León;Astana Qazaqstan Team;3
RENARD Alexis;Cofidis;1
PACHER Quentin;Groupama - FDJ;3
NAESEN Oliver;AG2R Citroën Team;1
KIRSCH Alex;Lidl - Trek;1
GROßSCHARTNER Felix;UAE Team Emirates;5
VERMEERSCH Florian;Lotto Dstny;2
OSS Daniel;TotalEnergies;1
GENIETS Kevin;Groupama - FDJ;2
DILLIER Silvan;Alpecin - Deceuninck;2
AMADOR Andrey;EF Education - EasyPost;1
SIMMONS Quinn;Lidl - Trek;4
PICHON Laurent;Team Arkéa Samsic;1
PEREZ Anthony;Cofidis;1
JUUL-JENSEN Christopher;Team Jayco AlUla;1
BOASSON HAGEN Edvald;TotalEnergies;2
BERNAL Egan;INEOS Grenadiers;7
VERMAERKE Kevin;Team dsm - firmenich;1
FERRON Valentin;TotalEnergies;1
DELAPLACE Anthony;Team Arkéa Samsic;1
DECLERCQ Tim;Soudal Quick-Step;99
CHARMIG Anthon;Uno-X Pro Cycling Team;2
CARAPAZ Richard;EF Education - EasyPost;14
VAN HOOYDONCK Nathan;Jumbo-Visma;1
SOLER Marc;UAE Team Emirates;7
MOSCON Gianni;Astana Qazaqstan Team;1
GOGL Michael;Alpecin - Deceuninck;1
GESCHKE Simon;Cofidis;3
EDMONDSON Alex;Team dsm - firmenich;2
VAN BAARLE Dylan;Jumbo-Visma;2
HERMANS Quinten;Alpecin - Deceuninck;5
TURNER Ben;INEOS Grenadiers;4
MÜHLBERGER Gregor;Movistar Team;3
KONRAD Patrick;BORA - hansgrohe;6
DURBRIDGE Luke;Team Jayco AlUla;2
SINKELDAM Ramon;Alpecin - Deceuninck;1
OLIVEIRA Nelson;Movistar Team;1
DINHAM Matthew;Team dsm - firmenich;1
DEGENKOLB John;Team dsm - firmenich;4
PETERS Nans;AG2R Citroën Team;3
